Title,Source,Type,Theme,Origin,Tone Set,Tonal Center,Scale,CSP,Meter,Rhythmic Content,Hardest Rhythmic,Hardest Melodic,Melodic Form,Rhythmic Form,Classroom Use,Grade Level,Game,Full Melody,Full Rhythm,Source Link,PDFs,MuseScore Embed,Lyrics,Melodic Context
Little Tommy Tucker,"Vaughn Williams Memorial Library RoudFS/S377998, Gammer Gurton's Garland (New edn., 1795?) p.56","Cumulative Song, Student Prompt, Drawing, Solo Singing","Food, Music, Tommy Tucker",England,m sl,mi,mi tritonic,G,2/4,"ta,ti-ti",ti-ti,la,ABBB,ABBB,"Introduce la, Practice ta ti-ti, Cumulative song","K,1,2","Students are seated in front of the whiteboard.
After each repetition of the song, a student is selected to choose a new food for Little Tommy Tucker to eat. The food is drawn by the teacher and the song ends with the most recent food, followed by the previous prompts, ending with the original ‘white bread and butter'. The foods are sung to the melody of the last two measures, s sl s m. When LTT has had too much to eat, the teacher can look sick and barf out the (usually unusual) food.   ",ssslsmsslsmsslsmsslsm,tt tt t t t tt t t t tt t t t tt t t,,"Little Tommy Tucker-Traditional_Notation.pdf, Little Tommy Tucker-Stick_Notation.pdf, Little Tommy Tucker-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30754109/embed,"Little Tommy Tucker sings for his supper, What shall we feed him? White bread and butter.",slsmslsmslsmslsm
Lucy Locket,"Locke, E. (2004). Sail Away: 155 American Folk Songs to Sing, Read and Play. New York, NY. Boosey & Hawkes.","Circle Game, Chase Game","Location, Finding, Objects, Money",USA,m sl,mi,mi tritonic,G,2/4,"ta,ti-ti,",ti-ti,la,ABAB,ABAB,"Introduce la, Practice ta ti-ti","K,1,2","Students form a seated circle. The teacher chooses a “Lucy”, and gives them a ‘pocket' (any small item).
Lucy walks around the outside of the circle as the students sing. At the end, Lucy drops the pocket, and the student closest to the pocket, “Kitty”, picks it up and stands up to play duck duck goose with Lucy. Kitty becomes the new Lucy.
source: C. Roberts, Kodaly Level 1 materials",ssllssmmssllsmssllssmmssllsm,tt tt tt tt tt tt t t tt tt tt tt tt tt t t ,,"Lucy Locket-Traditional_Notation.pdf, Lucy Locket-Stick_Notation.pdf, Lucy Locket-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30754265/embed,"Lucy Locket lost her pocket, Kitty Fisher found it, Not a penny was there in it, only ribbons round it.",slsmslsmslsmslsm
Mi Caballo,"Mills, L. (2010s). ¡Salta Conejo! A Collection of Latin American Children's Songs for Teachers and Parents. Found of madrobinmusic.com","Circle Game, Fast and Slow","Animals, Horses",Argentina,drmfs,do,do pentachordal,G,2/4,"ta,ti-ti,rest",rest,fa,ABAC,ABAB,"Introduce fa, Practice do, Introduce rest","K,1,2","Game inspired by Jeff Luna-Sparks: Students form a seated circle. One student is selected to be the horse. Optionally, another student can be chosen to be the jinete, or rider. The selected students stand outside the circle.
The teacher stands in the center of the circle. By clapping or with rhythm sticks, the teacher controls the tempo that the students sing, and the horse/rider must follow galloping around the circle. At the end, a new horse/rider is chosen. The optional rider's job is to follow the horse and hold their reins, either pretend or a scarf around their waist. 
source: C. Roberts, Kodaly Level 1 materials",smddsmddsfmfssmddsmddrfmrd,tt tt tt tt tt tt t z tt tt tt tt tt tt t z,,"Mi Caballo-Traditional_Notation.pdf, Mi Caballo-Stick_Notation.pdf, Mi Caballo-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30754655/embed,"Corre, corre, mi caballo sabe galopar. Corre, corre, mi caballo vamos a pasear. Run, run, my horse knows how to gallop. Run, run, my horse, let's go for a ride.",smdsmdsfmfsmdsmdrfmrd
Mr. Frog,"MacMillan & McGraw-Hill (1997). Share the Music. New York, NY. Macmillan/McGraw-Hill School Pub. Co.",Jumping Game,"Animals, Frogs, Music",Unknown,d m sl,do,do tetratonic,A,2/4,"ta,ti-ti,rest",ti-ti (rest at end),do,ABC,ABC,"Introduce do, Practice do, Practice ta ti-ti","1,2","Possible game: Students form 3 lines facing the far wall of the classroom.
The leader of each line poses as a frog during the singing of the song. On each ‘glumph', the frogs leap as far as they can. The student who leapfrogged the farthest is the winner. 
",slmslmslslslmddd,tt t tt t tt tt tt t t t t z,,"Mr Frog-Traditional_Notation.pdf, Mr Frog-Stick_Notation.pdf, Mr Frog-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30778790/embed,"On a log, Mister Frog sang a song the whole day long: glumph glumph glumph.",slmslmslslslmd
On a Mountain,"Schwartz, T. (Collector). (1953). 1,2,3 and a Zing Zing Zing. Washington DC: Smithonian Folksways. Transcribed C. Roberts, 6/09.","Circle Game, Movement","Nature, Money, Mountains, Food, Names",England,drmfsl,do,do hexachordal,A,4/4,"ta,ti-ti,tim-ka",tim-ka,fa,ABABC,ABABC,"Introduce fa, Practice tim-ka","K,1,2,3","Students form a standing circle. One student is selected to stand in the center.
While singing, the student in the center does jump rope or performs a movement of their choice. The center student's name is replaced in the second phrase, and they rejoin the circle. The teacher points to a new student in the circle and their name is sung as they jump in the circle.
source: C. Roberts, Kodaly Level 1 materials",slsmslsmslsfmrdslsmslsmslsfmrddsmlsmmsmlsm,tmk tt tmk tt tmk tt tt t tmk tt tmk tt tmk tt tt tt t tt t tt t tt t t,,"On a Mountain-Traditional_Notation.pdf, On a Mountain-Stick_Notation.pdf, On a Mountain-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30779216/embed,"On a mountain stands a lady who she is I do not know. All she wants is gold and silver, All she wants is ice cream cones. So jump out, my (Mason) and jump in, my (Ava).",slsmslsmslsfmrdslsmslsmslsfmrdsmlsmsmlsm
Peace Like a River,Many sources. Learned from Christopher Roberts. 2023. Kodaly Levels class at SPU.,Spiritual,"Peace, Nature",Bible,"s,l, drm",do,"do pentatonic ext,",C,4/4,"ta,ti-ti,to-o-o,tim-ka,ka-tim,anacrusis","tim-ka, ka-tim","so,",ABAC,ABAB,"Practice low so, Practice tim-ka, Practice ka-tim","K,1,2,3",No,"s,l,ddddmmrdddl,s,s,l,ddddmrdrs,l,ddddmmrdddl,s,s,l,ddddmrrd",tt t tmk ktm tt t tmk ktm tt t tmk ktm tt too tt t tmk ktm tt t tmk ktm tt t tmk ktm tt too,,"Peace Like a River-Traditional_Notation.pdf, Peace Like a River-Stick_Notation.pdf, Peace Like a River-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30779582/embed,"I got peace like a river, I got peace like a river, I got peace like a river in my soul. I got peace like a river, I got peace like a river, I got peace like a river in my soul.","s,l,dmrdl,s,l,dmrdrs,l,dmrdl,s,l,dmrd"
PK Penny Packet,Learned from Christopher Roberts. 2023. Kodaly Levels class at SPU.,"Chant, Counting out Game","Food, Gum, Silly",England,,,,,2/4,"ta,ti-ti",ti-ti,,,ABBA,Pracitce ta ti-ti,"K,1",A student is chosen to bounce a ball on the beat.,,t t tt tt tt tt tt tt tt tt tt tt t t tt tt,,"PK Penny Packet-Traditional_Notation.pdf, PK Penny Packet-Stick_Notation.pdf",https://musescore.com/user/14822371/scores/30779702/embed,"PK Penny Packet, First you chew it then you crack it, Then you stick it in your jacket. PK Penny Packet",
Punchinella,"Fulton, E. & Smith, P. (1978). Let's Slice the Ice. Ann Arbor, MI. Magnamusic-Baton","Movement, Student Prompt","Movement, Silly",USA,m sltd',do',do pentatonic*,Bb,4/4,"ta,ti-ti,rest,syn-co-pa,tim-ka","tim-ka, syn-co-pa",ti,ABAB,ABA'B',"Practice syn-co-pa, Practice high do","K,1,2,3","Students form a standing circle. A “Punchinella” is selected to stand in the center.
During the first phrase, Punchinella performs a silly movement. During the second phrase, the students mimic the movement while singing. A new Punchinella is chosen to stand in the center.
",d'ld'lssllssmsd'ld'lssllttdd'd'ld'lssllssmsd'd'ld'lssllttd,scp t tmk tmk tmk t t scp t tmk tmk tmk t z tmk tmk t tmk tmk tmk t t tmk tmk t tmk tmk tmk t z,,"Punchinella-Traditional_Notation.pdf, Punchinella-Stick_Notation.pdf, Punchinella-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30779969/embed,"What can you do punchinella fourty seven, What can you do punchinella fourty two? We can do it too, punchinella fourty seven, We can do it too, punchinella fourty two!",d'ld'lslsmsd'ld'lsltdd'ld'lslsmsd'ld'lsltd
Queen Queen Caroline,Learned from Christopher Roberts. 2023. Kodaly Levels class at SPU.,Chant,"Queens, Hair, Hygiene",England,,,,,2/4,"ta,ti-ti",ti-ti,,,ABCA,"Practice ta ti-ti, Beat vs Rhythm","K,1",No,,t t tt t tt tt tt t tt t tt t t t tt t,,"Queen Queen Caroline-Traditional_Notation.pdf, Queen Queen Caroline-Stick_Notation.pdf",https://musescore.com/user/14822371/scores/30802430/embed,"Queen, Queen, Caroline, Washed her hair in turpentine. Turpentine, made it shine. Queen, Queen, Caroline.",
Roll that Red Ball,"Beall, P. & Nipp S. (1987). Wee Sing and Play. Los Angeles, CA. Price Stern Sloan","Circle Game, Ball Game","Balls, Colors",USA,"s, t,drmfs",do,"do hexatonic ext,",G#,4/4,"ta,ti-ti,rest,tam-ti",tam-ti,"ti,",ABAC,AAAA,"Introduce tam-ti, Practice low ti, Practice V chord","K,1,2","Students start in a seated circle. One student starts with a ball, preferably red.
Starting with one ball, they roll to another student across the circle. No bouncing or throwing. If everyone is singing, add another ball and change the lyrics:
“Roll those two balls down to town…”
","mds,dmmmrt,s,t,rrrmds,dmmmssfrddd",t t t t tmt t z t t t t tmt t z t t t t tmt t z t t t t tmt t z,,"Roll that Red Ball-Traditional_Notation.pdf, Roll that Red Ball-Stick_Notation.pdf, Roll that Red Ball-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30802631/embed,Roll that red ball down to town. Roll that red ball down to town. Roll that red ball down to town. Roll that red ball down to town.,"mds,dmrt,s,t,rmds,dmsfrd"
Sing and Clap,Learned from Christopher Roberts. 2023. Kodaly Levels class at SPU.,"Chant, Name Game, Solo Singing ","Names, Music",Unknown,m s,mi,Childhood Chant/mi bitonic,G,2/4,"ta,ti-ti",ti-ti,so/mi,A,A,"High Low song, Practice ta ti-ti","K,1","At the end of the song, the teacher points to a student who claps and solo sings their name to the tune of s m.",ssmmssm,tt tt tt t,,"Sing and Clap-Traditional_Notation.pdf, Sing and Clap-Stick_Notation.pdf, Sing and Clap-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30828386/embed,Sing and clap your name for me. ,smsm
Zapatitos Blancos,"Montoya-Stier, G. (2008). El Patio de mi Casa: 42 traditional rhymes, chants, and folk songs from Mexico. Chicago, IL. GIA. p. 20","Chant, Elimination Game","Shoes, Age, Numbers, Clothing",Mexico,,,,,2/4,"ta,ti-ti,rest",rest,,,AB,"Practice rest, Language: Spanish","1,2,3","Students form a seated circle with both legs extended in front of them. The teacher or a student leader is chosen to be inside the circle.
The leader pats a steady beat around the circle, tapping each student's shoe as everyone speaks the rhyme. On the last beat of the rhyme, the student on whom the beat lands says how old they are. The beat continues around the circle for however old the student is. (For example, if the student is seven, the beat passes seven more shoes.) 
When the beat lands on the final shoe, that person's foot is eliminated from the game. They tuck it underneath them, out of the circle, so one foot is still in the game and one foot is out. Continue until all shoes are eliminated. 
source: victoriaboler.com
",,tt tt t t tt tt t z tt tt t t t t t z,,"Zapatitos Blancos-Traditional_Notation.pdf, Zapatitos Blancos-Stick_Notation.pdf",https://musescore.com/user/14822371/scores/30828560/embed,"Zapatitos blancos, zapa titos azul. ¿Di me cuán tos años tienes tú?",
2 4 6 8,Learned from Christopher Roberts. 2023. Kodaly Levels class at SPU.,Chant,"Numbers, Garden",England,,,,,4/4,"ta,ti-ti",ti-ti,,,AB,"Practice ta ti-ti, Beat vs Rhythm","K,1",No,,t t t t tt tt tt t tt t tt t t t t t,,"2 4 6 8-Traditional_Notation.pdf, 2 4 6 8-Stick_Notation.pdf",https://musescore.com/user/14822371/scores/30828707/embed,"2 4 6 8 Meet me at the garden gate. If I'm late, do not wait. 2 4 6 8",
Al Citron,"Yurchenko, H. (1969). Latin American Children's Game Sonbs. Folkways FC 7851. Transcribed R. Klinger/C. Roberts.",Passing Game,"Food, Fruit, Music",Mexico,"s, drm",do,"do tetratonic ext,",D,2/4,"ta,ti-ti,tam-ti",tam-ti,"so,",AB,AA,"Introduce tam-ti, Practice low so","3,4,5","Students form a seated circle. Students are given a small object like a stone.
On the pick up beat, each stone is picked up. On the downbeat, the stone is passed to the right. On “triki triki”, students hold on to the stone and tap it R L to the beat before continuing the passing pattern on “tron”. Students breaking the pattern are eliminated.
source: C. Roberts, Kodaly Level 2 materials","s,s,drmrdds,s,dds,s,ds,s,drmrdds,s,ds,dmd",tt tmt tmt tt tt tt tt t tt tmt tmt tt tt tt tt t,https://www.youtube.com/watch?v=VGvnskp7EBs,"Al Citron-Traditional_Notation.pdf, Al Citron-Stick_Notation.pdf, Al Citron-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30828923/embed,"Al citron de un fandango sango, sango, sabaré, sabaré de la rondela con su triki, trikitron.","s,drmrds,ds,ds,drmrds,ds,dmd"
Big Fat Biscuit,"Eisen, A. & Robertson, L. (2002). An American Methodology. Lake Charles, LA: Sneaky Snake Publications","Jumping Game, Competitive","Food, Jumping, Movement",USA,"l, drm",do,"do tetratonic ext,",F,4/4,"ta,rest,tam-ti,syn-co-pa",tam-ti,"la,",AAA,ABB,"Introduce tam-ti, Practice low la, Practice syn-co-pa","2,3,4,5","Students form a standing horseshoe, facing the center. At the open end, a line with tape is drawn on the ground.
At the start of the song, the two students at the end of the horseshoe step up to the line. At the end on ‘'Jump!” the two students jump as far as they can. The jumpers must start with flat feet, no running start. If a student stumbles or steps out to balance after their jump, they are disqualified. The farthest jumper is the winner, and both jumpers rejoin the horseshoe in the middle. Repeat with new jumpers.
","ddrmdl,ddddrmdl,ddddrmdl,d",t t t t tmt t z scp t t tmt t z scp t t tmt t z,,"Big Fat Biscuit-Traditional_Notation.pdf, Big Fat Biscuit-Stick_Notation.pdf, Big Fat Biscuit-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30829181/embed,"Big fat biscuit, chewbaloo. Just from the oven, chewbaloo. Jump over yonder, chewbaloo. Jump!","drmdl,drmdl,drmdl,d"
Chickama Craney Crow,"Aubin, N. et al. (1981). Silver Burdett Music, Early Childhood. Englewood Cliffs, NJ. Silver Burdett.",Chase Game,"Animals, Birds, Witches",USA,"s,l, d m s",do,"do tetratonic ext,",F,6/8,"ti-ti-ti,ta-ti,tum",tum,"so,",AABC,ABCD,"Practice ta-ti, Practice low so","3,4,5","Students form a line with their hands on the shoulders of the student in front of them, with the leader being “Craney Crow”. A “Witch” is selected to hide in the corner of the room.
Craney Crow leads the Chickens in a march around the front of the Witch's hiding place, singing in a taunting manner.
At the words, “What time, Old Witch?” the Witch rushes from her hideout, seizes a Chicken, takes it to her hiding place, and calls out “One.”
The Chickens again form a line behind Craney Crow and the game is resumed from the beginning. As the Witch seizes the second Chicken, she answers to the question, “What time, Old Witch?” the word “Two,” and soon “Three, Four, etc.,” until twelve Chickens have been seized. In case the number of players is small, the Witch seizes half of Craney Crow's Chickens.
After this has been done, the singing stops; the Witch draws a line on the ground with a stick, and the Chickens behind the Witch and the Chickens behind Craney Crow pull against each other. The first child pulled across the line on the Witch's side becomes the new Witch; the first child pulled across the line on Craney Crow's side becomes the new Craney Crow, and the game is begun again from the very beginning.
source: kodalycollection.org, Altona Trent-Jones, Play Songs of the Deep South, 1944.
","dddddddl,s,ddddddl,s,dddddddlsmsmsms",ttt ttt t ti tum ttt t ti t ti tum ttt t ti ttt t ti t ti t ti tum,,"Chickama Craney Crow-Traditional_Notation.pdf, Chickama Craney Crow-Stick_Notation.pdf, Chickama Craney Crow-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30829673/embed,"Chickama chickama Craney crow, Went to the well to wash his toe, When he got there his chicken was gone, what time, what time, old witch? ONE!","dl,s,dl,s,dlsmsmsms"
Casey the Cowboy,"Learned from Bryan Van Pelt, Credited to Susan Brumfield. 2023. Kodaly Levels class at SPU. ",Folksong,"Cowboys, Death, Halloween",USA,drmfsl d',do,do hexachordal ext',G,4/4,"ta,ti-ti,rest,syn-co-pa",syn-co-pa,fa,ABAC,ABAC,"Introduce syn-co-pa, Practice fa","3,4,5",No,sslsmd'd'lssslsmmrdrmfsslsmd'd'lsd'lsfmmrd,scp t t scp t z scp t t scp t tt scp t t scp t z t t t t scp t z,,"Casey the Cowboy-Traditional_Notation.pdf, Casey the Cowboy-Stick_Notation.pdf, Casey the Cowboy-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30829961/embed,"Casey the cowboy, all dressed in red. Went to the graveyard, there lost his head. There was blood on the saddle, blood on the ground. Great big blobs of blood all around.",slsmd'lslsmrdrmfslsmd'lsd'lsfmrd
Dance to Your Daddy,"Pamela Conn Beall and Susan Hagen Nipp (1995). Wee Sing More Bible Songs, Price Stern Sloan. This is a simplified variation of the melody.",Folksong,"Family, Dancing, Boats, Fish",England,"s, t,drmfs",do,"do hexachordal ext,",A,3/4,"ta,ti-ti",ti-ti,"ti,",ABAB,ABCC,"Practice ta ti-ti, Practice low ti","2,3,4",No,"mrdmsrrdrfmmrmss,dt,dmmrdmsrrrdrfmmmrmss,ddt,d",t tt tt t tt tt t tt tt t tt t tt tt tt tt tt tt tt tt tt tt tt t,,"Dance to Your Daddy-Traditional_Notation.pdf, Dance to Your Daddy-Stick_Notation.pdf, Dance to Your Daddy-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30830360/embed,"Dance to your daddy, my bonnie laddie, Dance to your daddy, my little lamb. You shall have a fishy, in a little dishy, You shall have a fishy when the boat comes in.","mrdmsrdrfmrmss,dt,dmrdmsrdrfmrmss,dt,d"
Epo I Tai Tai E,"Archer, J. (2007). The Little Waiata that Ran Away: Songs from the Maori-Pakeha cultural interface. Journal of Folklore Research, 44(2-3), 239-247.",Folksong,"Clapping, Dancing",New Zealand,"s,l,t,drmf",do,"do diatonic ext,",D,4/4,"ta,ti-ti,to-o-o-o,syn-co-pa",syn-co-pa,"ti,",ABCD,AABC,"Introduce syn-co-pa, Practice low ti, Language: Maori","3,4,5","Students pair up and stand across from each other.
Students perform the pattern: 2 beats on own lap, 2 beats clapping own hands, 4 beats clapping partner's hands. Repeat for whole song.
Increase the difficulty: Students form two concentric circles, facing a partner. The teacher can yell right or left and each circle must step in that direction to find a new partner.
","s,s,s,l,dmddrdl,s,s,s,s,l,dmmfmrddrrmrdt,rd",scp t t tooo scp t t tooo scp t t scp tt tt scp tt tt tooo,,"Epo I Tai Tai E-Traditional_Notation.pdf, Epo I Tai Tai E-Stick_Notation.pdf, Epo I Tai Tai E-Stick_Notation_no_melody.pdf",https://musescore.com/user/14822371/scores/30860372/embed,"Epo i tai tai eEpo i tai tai eEpo i tai tai Epo i tuki tuki, Epo i tuki tuki e.","s,l,dmdrdl,s,l,dmfmrdrmrdt,rd"
